degree,velocity,acceleration_method1,acceleration_method2
0.0,789.3212890625,-519030.96875,513233.1627182035
1.000555864369094,745.9533081054688,-521198.3125,513163.86948421196
2.001111728738188,702.4111328125,-523201.375,512956.00175156724
3.0016675931072823,658.708984375,-525040.5,512609.5954341684
4.002223457476376,614.8605346679688,-526715.8125,512124.7104082042
5.00277932184547,570.8788452148438,-528227.75,511501.4305416511
6.0033351862145645,526.778076171875,-529576.4375,510739.86373551027
7.003891050583658,482.571533203125,-530762.4375,509840.1419767074
8.004446914952752,438.27288818359375,-531786.125,508802.42140257824
9.005002779321845,393.895751953125,-532647.9375,507626.88237683085
10.00555864369094,349.4534606933594,-533348.5625,506313.7295768642
11.006114508060033,304.9594421386719,-533888.4375,504863.1920922992
12.006670372429129,260.4270324707031,-534268.1875,503275.5235345664
13.007226236798221,215.8697052001953,-534488.4375,501551.00215736404
14.007782101167315,171.3004913330078,-534550.125,499689.93098779506
15.00833796553641,126.73280334472656,-534453.8125,497692.63796796557
16.008893829905503,82.17974853515625,-534200.375,495559.47610680654
17.009449694274597,37.65432357788086,-533790.4375,493290.82364187104
18.01000555864369,-6.830465316772461,-533225.1875,490887.08421083115
19.010561423012785,-51.261661529541016,-532505.375,488348.6870323881
20.01111728738188,-95.62643432617188,-531631.8125,485676.08709628624
21.011673151750976,-139.91195678710938,-530605.625,482869.76536210784
22.012229016120067,-184.1057586669922,-529427.8125,479930.22896650276
23.01278488048916,-228.19480895996094,-528099.3125,476858.0114384939
24.013340744858258,-272.1669921875,-526621.3125,473653.67292248114
25.01389660922735,-316.00970458984375,-524994.875,470317.8004085457
26.014452473596442,-359.7107238769531,-523221.125,466851.0079696451
27.015008337965536,-403.2576599121094,-521301.15625,463253.93700526777
28.01556420233463,-446.6383972167969,-519236.25,459527.2564911015
29.016120066703728,-489.841064453125,-517027.59375,455671.6632342534
30.01667593107282,-532.853759765625,-514676.3125,451687.88213354396
31.017231795441916,-575.6643676757812,-512183.90625,447576.6664443766
32.017787659811006,-618.26123046875,-509551.40625,443338.7980476777
33.018343524180096,-660.6328735351562,-506780.0625,438975.08772237774
34.018899388549194,-702.7676391601562,-503871.59375,434486.3754208935
35.019455252918284,-744.6544189453125,-500827.0,429873.53054705675
36.02001111728738,-786.281494140625,-497647.78125,425137.4522359193
37.02056698165648,-827.6382446289062,-494335.4375,420279.069634849
38.02112284602557,-868.7128295898438,-490891.03125,415299.3421853213
39.02167871039467,-909.4951171875,-487316.34375,410199.25990479364
40.02223457476376,-949.9737548828125,-483612.5,404979.84366804076
41.02279043913285,-990.1383056640625,-479781.3125,399642.14548731194
42.02334630350195,-1029.9783935546875,-475823.90625,394187.2487906657
43.02390216787104,-1069.4830322265625,-471742.0625,388616.2686978196
44.02445803224013,-1108.6422119140625,-467537.03125,382930.3522928456
45.02501389660923,-1147.44580078125,-463210.46875,377130.67889303
46.02556976097832,-1185.8836669921875,-458763.84375,371218.4603132075
47.02612562534741,-1223.94580078125,-454198.65625,365194.941124869
48.026681489716516,-1261.6219482421875,-449516.59375,359061.39890933235
49.02723735408561,-1298.903564453125,-444719.09375,352819.14450426353
50.0277932184547,-1335.7801513671875,-439807.78125,346469.5222428185
51.028349082823794,-1372.24267578125,-434784.125,340013.9101846789
52.028904947192885,-1408.28125,-429649.90625,333453.72033824155
53.029460811561975,-1443.887451171875,-424406.34375,326790.3988732194
54.03001667593107,-1479.0518798828125,-419055.59375,320025.4263229076
55.03057254030017,-1513.765869140625,-413599.0,313160.3177753646
56.03112840466926,-1548.0206298828125,-408037.96875,306196.62305274827
57.03168426903836,-1581.80712890625,-402374.375,299135.92687805794
58.032240133407456,-1615.117431640625,-396609.90625,291979.8490285189
59.032795997776546,-1647.9429931640625,-390745.9375,284730.0444748545
60.03335186214564,-1680.2752685546875,-384784.34375,277388.2035056822
61.03390772651473,-1712.106689453125,-378726.78125,269956.0518362844
62.03446359088383,-1743.428955078125,-372574.75,262435.35070099117
63.035019455252915,-1774.234375,-366330.03125,254827.89692842858
64.03557531962201,-1804.5155029296875,-359994.21875,247135.5229988817
65.03613118399112,-1834.26416015625,-353568.96875,239360.0970830321
66.03668704836019,-1863.4737548828125,-347056.09375,231503.52306133189
67.0372429127293,-1892.136962890625,-340457.125,223567.7405232836
68.03779877709839,-1920.2459716796875,-333773.875,215554.7247459096
69.03835464146748,-1947.7945556640625,-327007.875,207466.48665069253
70.03891050583657,-1974.775146484375,-320161.0,199305.07273829114
71.03946637020567,-2001.1822509765625,-313234.875,191072.5650003376
72.04002223457476,-2027.0076904296875,-306231.0625,182771.08080764164
73.04057809894385,-2052.24658203125,-299151.5,174402.77277413552
74.04113396331296,-2076.89208984375,-291997.75,165969.82859591302
75.04168982768205,-2100.938232421875,-284771.59375,157474.47086472882
76.04224569205114,-2124.37841796875,-277474.75,148918.9568553423
77.04280155642024,-2147.207763671875,-270108.9375,140305.57828611106
78.04335742078933,-2169.419921875,-262675.75,131636.66105225356
79.04391328515842,-2191.00927734375,-255177.046875,122914.56493122589
80.04446914952752,-2211.9716796875,-247614.640625,114141.68325967956
81.04502501389662,-2232.2998046875,-239990.09375,105320.44258148444
82.0455808782657,-2251.989990234375,-232305.21875,96453.30226633449
83.0461367426348,-2271.037353515625,-224561.75,87542.7540984712
84.0466926070039,-2289.4365234375,-216761.5,78591.3218350914
85.04724847137298,-2307.182373046875,-208906.125,69601.56073403178
86.04780433574209,-2324.27197265625,-200997.515625,60576.05705035157
87.04836020011118,-2340.699951171875,-193037.28125,51517.42750146741
88.04891606448027,-2356.46142578125,-185027.328125,42428.318700520496
89.04947192884936,-2371.55322265625,-176969.34375,33311.40655769567
90.05002779321846,-2385.97119140625,-168865.203125,24169.395649237962
91.05058365758755,-2399.7119140625,-160716.5625,15005.018553953656
92.05113952195664,-2412.770751953125,-152525.21875,5821.035157013172
93.05169538632575,-2425.1455078125,-144293.125,-3379.7680790877403
94.05225125069482,-2436.832275390625,-136021.96875,-12594.578876513131
95.05280711506393,-2447.827392578125,-127713.5625,-21820.55993708934
96.05336297943303,-2458.128173828125,-119369.75,-31054.84977034942
97.05391884380211,-2467.732421875,-110992.3125,-40294.56355461058
98.05447470817121,-2476.636962890625,-102583.15625,-49536.79403103018
99.0550305725403,-2484.83837890625,-94144.03125,-58778.6124305441
100.0555864369094,-2492.33544921875,-85676.84375,-68017.06943355253
101.05614230127848,-2499.125,-77183.4296875,-77249.19616216842
102.05669816564759,-2505.2060546875,-68665.578125,-86472.00520480722
103.05725403001668,-2510.574951171875,-60125.2734375,-95682.49167284455
104.05780989438577,-2515.231689453125,-51564.32421875,-104877.63428902949
105.05836575875487,-2519.17333984375,-42984.64453125,-114054.39650729283
106.05892162312395,-2522.3994140625,-34388.05078125,-123209.72766354149
107.05947748749306,-2524.90771484375,-25776.572265625,-132340.56415699067
108.06003335186215,-2526.697021484375,-17152.025390625,-141443.83066152962
